instance_name,lat,long
dartsdon.jp,34.6864,135.52
deep-learning.site,48.8582,2.3387
delusion.ariela.jp,35.69,139.69
dev.glitch.social,45.4987,-73.5793
dhtls.net,34.6864,135.52
diaspodon.fr,48.8582,2.3387
digilife.club,34.6864,135.52
djanzu.tokyo,35.685,139.7514
dnfc.fun,45.504,-73.5748
dokushodon.life,35.69,139.69
doll.social,35.7574,139.6273
dolphin.town,37.567,-121.9829
don.akashi.cloud,39.0481,-77.4729
don.chakuriki.net,35.685,139.7514
don.ekesete.net,35.685,139.7514
don.m2hq.net,34.6864,135.52
don.mamemo.online,35.69,139.69
don.matchy.jp,37.4192,-122.0574
don.mfz.jp,35.685,139.7514
don.msng.info,1.2855,103.8565
don.rabbit-house.me,37.4192,-122.0574
don.tacostea.net,36,138
don.techfeed.io,35.685,139.7514
don.wakamesoba98.net,34.6864,135.52
donsuke.biz,35.1802,136.9067
doronko.club,37.4192,-122.0574
doshidon.com,45.8696,-119.688
doug.computer,40.7357,-74.1724
dq10.online,35.685,139.7514
dragon.style,40.7214,-74.0052
dramadon.net,34.6864,135.52
dreo.io,51.4964,-0.1224
drg.im,45.4987,-73.5793
droogz.razvrat.org,40.7214,-74.0052
dtp-mstdn.jp,36,138
durel.org,48.8582,2.3387
dutchxs.com,52.3824,4.8995
east.mstdn.tokyo,37.4192,-122.0574
eat-inago-inago.com,34.6864,135.52
ecodigital.social,51.4964,-0.1224
ecurie.social,48.7685,2.4187
edge.mstdn.jp,34.6864,135.52
edge.taruntarun.net,35.685,139.7514
ediot.social,37.751,-97.822
ehr.m.to,35.685,139.7514
eigadon.net,35.4478,139.6425
eizodon.jp,34.6864,135.52
el-ktm.com,37.7697,-122.3933
eldritchworld.nom.es,51.2993,9.491
elekk.xyz,39.018,-77.539
elephant-bike.herokuapp.com,39.0481,-77.4729
elephant.bike,39.0481,-77.4729
elephant.bluecore.net,36,138
eletusk.club,35.8333,139.5833
elict.net,35.685,139.7514
emacs.li,38.9266,-77.3937
emojidon.global,34.6864,135.52
empty.cafe,48.8582,2.3387
engineered.space,51.5142,-0.0931
ephemeral.glitch.social,45.4987,-73.5793
epsilon.social,46,2
equestria.social,44.7434,-0.6791
ery.kr,35.685,139.7514
esp.community,35.685,139.7514
esperanto.masto.host,46,2
estpls.m.to,35.685,139.7514
etv.jikkyo.tv,34.6864,135.52
eunivers.social,46,2
everydon.com,35.685,139.7514
f-rabbit.com,34.7167,135.4167
fam.vermeulen.id.au,46,2
fanfare.horse,34.6864,135.52
faux.io,37.751,-97.822
fehacking.xyz,48.8582,2.3387
feralkin.com,43.6555,-79.3626
fern.surgeplay.com,37.751,-97.822
ffxiv-mastodon.com,35.69,139.69
fgo.geekdon.jp,35.685,139.7514
fgochiho.vip,34.6864,135.52
