Donation level,min_donation,benefits,count
Every dollar counts,1,Access to development Discord,
Sponsors,10,"Your name on the sponsors list, as well as previous rewards",88
Highlighted sponsors,20,"Listed at the top of the general sponsors list, plus previous rewards",15
Silver sponsors,40,Your name and link along with a small avatar or logo on the sponsors page plus Discord access. The link is a nofollow link.,24
Gold sponsors,100,Your medium-sized logo as a link at the very top of the sponsors page as well as Discord access,12
Platinum sponsors,200,Your medium-sized logo as a link on the project frontpage - joinmastodon.org,12
